Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Statement - randomR = CustomKeywords.random.randomReligion.randomRRR(),Chrome 65.0.3325.181,,2561-04-03 13:43:27,2561-04-03 13:43:27,0.000s,PASSED
Statement - radomD = CustomKeywords.random.randomDegree.randomDeg(),Chrome 65.0.3325.181,,2561-04-03 13:43:27,2561-04-03 13:43:27,0.000s,PASSED
Statement - randomJ = CustomKeywords.random.randomJobs.randomJOb(),Chrome 65.0.3325.181,,2561-04-03 13:43:27,2561-04-03 13:43:27,0.000s,PASSED
Statement - randomS = CustomKeywords.random.randomStatus.randomSta(),Chrome 65.0.3325.181,,2561-04-03 13:43:27,2561-04-03 13:43:27,0.000s,PASSED
openBrowser,Chrome 65.0.3325.181,,2561-04-03 13:43:27,2561-04-03 13:43:31,3.678s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-04-03 13:43:31,2561-04-03 13:43:56,25.428s,PASSED
click,Chrome 65.0.3325.181,,2561-04-03 13:43:56,2561-04-03 13:43:57,1.013s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:43:57,2561-04-03 13:43:57,0.247s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:43:57,2561-04-03 13:43:59,1.225s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:43:59,2561-04-03 13:44:00,1.141s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:44:00,2561-04-03 13:44:01,1.532s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:44:01,2561-04-03 13:44:03,1.501s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:44:03,2561-04-03 13:44:04,1.419s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:44:04,2561-04-03 13:44:06,1.409s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:44:06,2561-04-03 13:44:06,0.240s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:44:06,2561-04-03 13:44:06,0.225s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:44:06,2561-04-03 13:44:06,0.201s,PASSED
